#    ID   RA            Dec        F814W   F555W
#         [deg]         [deg]
      1   161.740397    17.260521  28.710  30.245
      2   161.740423    17.260358  28.343  29.956
      3   161.742414    17.265801  27.946  30.044
      4   161.741332    17.262675  28.948  31.302
      5   161.744215    17.270498  28.978  31.061
      6   161.744664    17.271737  27.787  29.602
      7   161.744588    17.271499  28.535  30.391
      8   161.743132    17.267455  27.569  31.192
      9   161.744380    17.270912  28.914  30.824
     10   161.745703    17.274333  28.034  30.327
     11   161.740807    17.260662  29.027  29.942
     12   161.745695    17.274210  28.501  30.111
     13   161.745213    17.272852  28.989  29.914
     14   161.745118    17.272580  27.913  29.767
     15   161.746651    17.276806  27.684  30.252
     16   161.740823    17.260629  28.750  30.007
     17   161.741671    17.262966  29.069  29.785
     18   161.743396    17.267737  28.658  30.318
     19   161.746238    17.275596  28.496  30.070
     20   161.745331    17.273065  27.325  28.938
     21   161.746876    17.277318  28.874  30.325
     22   161.742249    17.264473  28.101  30.152
     23   161.745871    17.274523  27.795  30.059
     24   161.747304    17.278489  28.413  29.503
     25   161.746569    17.276442  28.669  30.108
     26   161.746511    17.276260  27.905  29.727
     27   161.744416    17.270437  28.719  30.401
     28   161.741816    17.263203  28.249  30.824
     29   161.747248    17.278267  29.049  29.904
     30   161.744558    17.270795  28.541  30.239
     31   161.747584    17.279189  28.607  29.612
     32   161.745673    17.273869  28.607  30.105
     33   161.742991    17.266378  27.741  29.983
     34   161.740981    17.260786  29.039  30.711
     35   161.747441    17.278699  28.614  29.939
     36   161.746210    17.275266  28.950  30.144
     37   161.748212    17.280806  28.652  30.453
     38   161.745224    17.272459  27.939  30.081
     39   161.746682    17.276490  28.780  31.225
     40   161.748081    17.280373  27.513  29.821
     41   161.748595    17.281789  28.121  29.223
     42   161.748034    17.280221  28.913  30.108
     43   161.748352    17.281100  28.311  30.980
     44   161.746784    17.276745  28.445  29.529
     45   161.745358    17.272783  29.145  30.828
     46   161.748708    17.282061  28.409  29.794
     47   161.748586    17.281720  28.483  30.693
     48   161.745959    17.274395  27.678  29.679
     49   161.748265    17.280790  28.348  30.961
     50   161.747716    17.279258  28.719  31.009
     51   161.747446    17.278500  28.651  30.646
     52   161.744630    17.270665  28.370  30.140
     53   161.748209    17.280560  28.588  28.984
     54   161.748083    17.280185  29.088  30.758
     55   161.749162    17.283168  28.289  30.906
     56   161.742677    17.265153  27.620  30.735
     57   161.748374    17.280963  28.601  28.708
     58   161.744053    17.268969  28.595  29.629
     59   161.749520    17.284133  28.153  30.478
     60   161.748068    17.280092  26.790  28.101
     61   161.749384    17.283744  28.175  29.775
     62   161.749220    17.283287  26.785  29.098
     63   161.748025    17.279969  28.451  29.678
     64   161.741219    17.261072  28.270  30.280
     65   161.741664    17.262283  28.642  29.831
     66   161.748970    17.282563  28.091  30.131
     67   161.749325    17.283536  27.317  29.929
     68   161.748733    17.281885  28.779  29.708
     69   161.748623    17.281578  27.724  30.148
     70   161.748847    17.282198  27.647  30.232
     71   161.749833    17.284931  28.373  29.945
     72   161.748010    17.279869  27.804  30.722
     73   161.748718    17.281828  28.412  30.962
     74   161.747228    17.277684  28.472  30.614
     75   161.744699    17.270659  28.593  29.915
     76   161.747842    17.279380  27.695  30.269
     77   161.749253    17.283286  28.479  29.461
     78   161.750114    17.285656  28.041  29.848
     79   161.748297    17.280603  28.443  30.471
     80   161.749996    17.285316  27.192  29.517
     81   161.748546    17.281288  23.063  23.493
     82   161.746300    17.275052  28.599  29.124
     83   161.750187    17.285812  28.241  30.106
     84   161.750388    17.286349  28.346  30.852
     85   161.748684    17.281622  28.321  29.501
     86   161.749881    17.284939  27.639  27.740
     87   161.748847    17.282063  27.305  26.991
     88   161.749959    17.285143  28.507  31.021
     89   161.750091    17.285497  29.060  30.205
     90   161.749092    17.282722  28.945  30.154
     91   161.749434    17.283672  28.352  29.955
     92   161.746803    17.276363  28.772  30.244
     93   161.748805    17.281920  27.852  31.164
     94   161.749385    17.283516  28.460  29.568
     95   161.750702    17.287164  28.637  29.991
     96   161.746381    17.275171  28.423  31.242
     97   161.747924    17.279452  27.319  29.486
     98   161.742200    17.263559  28.537  30.183
     99   161.750603    17.286877  25.179  25.360
    100   161.750251    17.285897  28.887  28.766
    101   161.750087    17.285434  28.116  30.906
    102   161.746774    17.276238  28.806  29.958
    103   161.751185    17.288473  28.100  29.444
    104   161.743757    17.267846  28.567  29.916
    105   161.749812    17.284652  27.922  30.728
    106   161.751261    17.288649  28.466  31.145
    107   161.750784    17.287320  28.530  30.201
    108   161.748452    17.280849  28.369  30.296
    109   161.751403    17.289023  28.915  31.076
    110   161.749160    17.282788  27.559  29.452
    111   161.745752    17.273321  28.429  29.928
    112   161.747882    17.279217  28.720  30.166
    113   161.751060    17.288028  28.804  29.620
    114   161.749963    17.284978  28.388  29.778
    115   161.748186    17.280034  28.608  30.624
    116   161.746836    17.276288  27.878  31.275
    117   161.744520    17.269856  28.929  29.916
    118   161.745624    17.272918  28.741  30.375
    119   161.751810    17.290085  28.599  30.099
    120   161.750982    17.287787  27.557  27.857
    121   161.750362    17.286062  28.613  30.189
    122   161.747502    17.278125  27.898  28.570
    123   161.750134    17.285430  28.976  29.087
    124   161.746723    17.275962  27.979  30.104
    125   161.750828    17.287352  28.093  29.505
    126   161.749698    17.284215  28.735  30.420
    127   161.748147    17.279897  28.623  29.720
    128   161.747885    17.279167  28.708  30.556
    129   161.751350    17.288775  23.964  26.486
    130   161.751418    17.288955  27.678  27.667
    131   161.749111    17.282554  28.455  30.244
