#    ID   RA            Dec        F814W   F555W
#         [deg]         [deg]
    151   161.751280    17.288484  28.586  30.310
    152   161.751998    17.290466  28.746  30.382
    153   161.752527    17.291932  28.901  30.415
    154   161.749668    17.283993  28.745  30.349
    155   161.748362    17.280357  27.003  28.449
    156   161.752548    17.291975  28.780  30.619
    157   161.747235    17.277229  28.643  29.959
    158   161.751916    17.290216  28.682  29.893
    159   161.747644    17.278356  26.945  29.519
    160   161.748636    17.281103  26.545  26.835
    161   161.748291    17.280145  28.931  30.924
    162   161.752269    17.291174  27.014  27.496
    163   161.749543    17.283606  27.391  28.756
    164   161.751433    17.288846  27.502  28.690
    165   161.751698    17.289579  28.838  30.016
    166   161.750555    17.286404  28.662  29.521
    167   161.748811    17.281563  28.680  30.125
    168   161.750539    17.286351  28.511  28.654
    169   161.752462    17.291686  27.657  30.002
    170   161.750908    17.287371  28.201  28.509
    171   161.750984    17.287574  28.252  30.113
    172   161.750004    17.284845  28.391  29.545
    173   161.744377    17.269223  28.605  30.390
    174   161.749247    17.282738  27.876  28.871
    175   161.751642    17.289384  28.806  29.547
    176   161.745131    17.271312  27.896  29.585
    177   161.750075    17.285032  27.600  27.785
    178   161.750695    17.286753  25.305  25.527
    179   161.748766    17.281392  25.806  27.699
    180   161.748466    17.280558  28.905  30.096
    181   161.748037    17.279360  28.354  30.466
    182   161.749080    17.282253  28.373  30.762
    183   161.749633    17.283782  28.784  30.805
    184   161.746615    17.275404  28.777  29.568
    185   161.750168    17.285261  28.479  30.263
    186   161.748263    17.279971  28.587  30.740
    187   161.749686    17.283919  28.355  28.503
    188   161.751165    17.288022  28.304  31.207
    189   161.743752    17.267444  28.384  31.004
    190   161.749186    17.282520  28.598  30.100
    191   161.747895    17.278938  28.472  30.213
    192   161.751627    17.289289  27.759  29.199
    193   161.750604    17.286431  28.258  30.615
    194   161.748068    17.279392  28.952  30.390
    195   161.750428    17.285939  27.759  28.573
    196   161.752596    17.291955  28.836  30.443
    197   161.748480    17.280530  28.313  30.803
    198   161.743539    17.266815  28.122  30.528
    199   161.751804    17.289752  27.870  29.390
    200   161.749828    17.284268  28.064  30.820
    201   161.752301    17.291126  28.556  30.001
    202   161.752513    17.291714  28.499  29.474
    203   161.749711    17.283937  27.730  28.790
    204   161.750276    17.285499  29.033  30.433
    205   161.748163    17.279634  29.097  30.852
    206   161.751382    17.288566  26.064  27.797
    207   161.748730    17.281202  28.323  30.489
    208   161.753005    17.293067  26.457  29.573
    209   161.751890    17.289969  28.273  30.280
    210   161.750333    17.285647  29.073  29.595
    211   161.752335    17.291202  28.889  29.908
    212   161.748751    17.281253  27.302  30.115
    213   161.752268    17.291012  28.517  29.269
    214   161.747393    17.277480  28.594  29.903
    215   161.752237    17.290923  27.416  29.980
    216   161.750889    17.287181  27.898  28.947
    217   161.750134    17.285084  27.041  29.794
    218   161.753216    17.293636  28.726  29.605
    219   161.751364    17.288491  25.684  28.133
    220   161.753496    17.294408  28.298  30.133
    221   161.751953    17.290124  27.318  30.707
    222   161.751474    17.288785  28.436  28.617
    223   161.753363    17.294022  28.758  30.073
    224   161.750959    17.287349  27.427  27.724
    225   161.750646    17.286472  28.915  29.180
    226   161.753076    17.293209  28.971  30.045
    227   161.750199    17.285226  28.867  29.375
    228   161.745129    17.271152  27.797  31.257
    229   161.746587    17.275200  28.735  29.960
    230   161.748595    17.280767  28.877  30.233
    231   161.750434    17.285867  27.490  30.788
    232   161.749018    17.281939  25.402  25.333
    233   161.750630    17.286409  27.461  28.741
    234   161.749789    17.284069  28.824  29.501
    235   161.752486    17.291553  28.021  29.642
    236   161.753475    17.294291  27.564  31.009
    237   161.749668    17.283726  29.109  28.739
    238   161.745981    17.273489  28.472  30.422
    239   161.748915    17.281630  27.595  30.902
    240   161.750314    17.285512  28.224  29.474
    241   161.753145    17.293368  27.652  28.891
    242   161.750889    17.287099  26.751  27.834
    243   161.754086    17.295968  28.668  29.864
    244   161.750968    17.287302  28.448  29.112
    245   161.749763    17.283958  28.352  28.491
    246   161.749206    17.282401  28.067  29.193
    247   161.741291    17.260432  28.597  30.574
    248   161.747701    17.278224  28.401  30.405
    249   161.749221    17.282437  27.632  30.876
    250   161.745959    17.273380  28.459  31.230
    251   161.752126    17.290496  27.659  29.589
    252   161.751718    17.289358  28.267  29.327
    253   161.753070    17.293107  27.533  28.150
    254   161.751888    17.289825  27.647  28.558
    255   161.752977    17.292845  28.228  29.243
    256   161.752918    17.292679  28.224  30.066
    257   161.753785    17.295086  28.295  29.899
    258   161.745938    17.273306  28.534  29.787
    259   161.747935    17.278844  27.659  27.830
    260   161.749008    17.281819  28.973  29.632
    261   161.750384    17.285631  28.564  29.705
    262   161.754199    17.296217  28.915  28.459
    263   161.750439    17.285783  28.614  30.143
    264   161.752849    17.292467  28.247  31.111
    265   161.751218    17.287938  28.722  31.004
    266   161.744387    17.268977  28.369  30.200
    267   161.751196    17.287872  27.863  27.938
    268   161.751445    17.288559  28.340  29.843
    269   161.747902    17.278724  28.379  30.204
    270   161.748865    17.281393  28.657  30.059
    271   161.753191    17.293386  27.975  29.249
    272   161.750673    17.286395  26.993  27.093
    273   161.742834    17.264637  26.063  28.435
    274   161.752198    17.290626  28.199  28.794
    275   161.747849    17.278548  28.738  29.562
    276   161.751840    17.289619  28.365  30.631
    277   161.753760    17.294944  29.112  29.491
    278   161.751380    17.288339  28.422  28.628
    279   161.746351    17.274379  27.073  30.009
    280   161.747385    17.277245  28.629  30.220
    281   161.751588    17.288909  28.805  29.697
    282   161.751687    17.289183  27.845  28.527
    283   161.751493    17.288643  28.153  30.013
    284   161.748454    17.280206  28.751  30.822
    285   161.748813    17.281201  28.492  30.254
    286   161.751041    17.287378  28.819  28.758
    287   161.752151    17.290443  28.365  29.979
    288   161.750981    17.287193  27.992  28.084
    289   161.749439    17.282913  28.538  30.320
    290   161.750969    17.287152  28.994  29.558
    291   161.750252    17.285157  28.540  28.777
    292   161.749820    17.283957  28.739  30.219
    293   161.752109    17.290308  28.584  29.973
    294   161.752140    17.290385  28.696  29.950
    295   161.752264    17.290729  28.150  27.784
    296   161.747123    17.276458  27.944  30.164
    297   161.751436    17.288428  28.126  28.381
    298   161.748565    17.280459  27.030  27.692
    299   161.748047    17.279017  28.541  29.500
    300   161.753123    17.293101  28.771  29.538
    301   161.753936    17.295348  27.710  31.046
    302   161.754862    17.297916  28.432  28.413
    303   161.749247    17.282325  27.380  29.651
    304   161.752879    17.292401  28.018  30.891
    305   161.749927    17.284206  28.561  30.982
    306   161.752625    17.291689  29.063  29.229
    307   161.753239    17.293391  28.003  30.106
    308   161.751926    17.289743  27.642  27.950
    309   161.753850    17.295081  28.539  29.906
    310   161.751965    17.289848  27.968  29.376
    311   161.751283    17.287950  28.583  31.032
    312   161.753512    17.294125  28.394  30.248
    313   161.746969    17.275966  27.351  28.470
    314   161.749246    17.282283  28.613  29.780
    315   161.753062    17.292868  28.392  29.599
    316   161.753171    17.293170  27.620  29.791
    317   161.751706    17.289103  27.848  29.273
    318   161.753055    17.292837  29.080  30.078
    319   161.746369    17.274276  28.698  29.721
    320   161.752422    17.291073  27.621  29.783
    321   161.751923    17.289685  28.120  29.092
    322   161.752625    17.291626  28.553  30.012
    323   161.755471    17.299520  27.694  27.846
    324   161.752366    17.290904  28.999  29.453
    325   161.753252    17.293361  27.740  30.472
    326   161.749196    17.282104  28.713  30.040
    327   161.749698    17.283495  29.012  31.221
    328   161.749793    17.283756  28.359  29.620
    329   161.745884    17.272908  27.518  30.443
    330   161.748186    17.279298  28.717  30.271
    331   161.750771    17.286469  27.956  28.850
    332   161.753684    17.294550  28.638  29.377
    333   161.752576    17.291467  28.461  30.416
    334   161.753176    17.293131  28.368  28.713
    335   161.752156    17.290295  27.968  30.244
    336   161.752892    17.292327  28.331  30.310
    337   161.749417    17.282682  28.520  29.945
    338   161.750965    17.286977  26.764  28.404
    339   161.752646    17.291641  28.447  28.922
    340   161.749406    17.282648  28.868  28.705
    341   161.749090    17.281768  28.253  29.559
    342   161.742586    17.263709  28.416  30.041
    343   161.748936    17.281333  27.541  30.417
    344   161.742421    17.263245  28.179  30.745
    345   161.751918    17.289604  28.542  28.806
    346   161.754753    17.297467  28.511  30.539
    347   161.748485    17.280072  27.946  29.722
    348   161.753809    17.294843  28.996  29.985
    349   161.751880    17.289490  28.289  28.981
    350   161.751008    17.287069  29.020  29.090
    351   161.744412    17.268759  28.532  30.853
    352   161.754745    17.297429  28.836  29.992
    353   161.749466    17.282779  28.280  29.485
    354   161.750099    17.284532  27.566  28.104
    355   161.754540    17.296857  28.706  30.669
    356   161.754949    17.297991  28.291  28.919
    357   161.748059    17.278866  28.349  29.976
    358   161.753502    17.293968  28.583  28.564
    359   161.755537    17.299614  28.265  29.438
    360   161.753670    17.294432  27.521  29.733
    361   161.748093    17.278955  28.507  30.150
    362   161.747994    17.278678  28.095  29.539
    363   161.753735    17.294607  27.865  29.502
    364   161.747285    17.276694  28.477  30.491
    365   161.754215    17.295921  28.097  29.858
    366   161.753341    17.293492  28.490  29.359
    367   161.750593    17.285867  28.654  28.927
    368   161.754547    17.296836  28.576  30.898
    369   161.750418    17.285377  28.057  28.772
    370   161.750617    17.285922  25.093  25.170
    371   161.754024    17.295368  27.435  30.090
    372   161.753288    17.293322  28.504  30.044
    373   161.752666    17.291594  27.950  28.112
    374   161.750337    17.285131  26.947  29.100
    375   161.753926    17.295090  27.458  28.802
    376   161.751055    17.287119  27.714  27.567
    377   161.750679    17.286074  26.807  26.687
    378   161.753148    17.292925  27.487  30.061
    379   161.742907    17.264500  28.381  30.016
    380   161.749877    17.283843  27.830  29.965
    381   161.749794    17.283613  28.254  29.122
    382   161.753279    17.293279  28.314  29.173
    383   161.746868    17.275485  27.983  31.147
    384   161.746432    17.274273  27.697  28.138
    385   161.751008    17.286972  27.086  28.382
    386   161.752510    17.291134  28.710  29.415
    387   161.753145    17.292893  28.275  29.137
